,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11631,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19739640.0,19739640.0,False,,1,,,,2024-08-14T04:18:00.000Z,61069.830420438135,29155525957.90646,-20.964,0.18835832,3.48712166,7.04112677,-2.44399912,-7.90114499,-7.39977892,1205496467360.4973,56.3385,1282466438829.2,,2024-08-14T04:18:00.000Z,,,,,,2024-08-13 23:45:11.114379
1,1027,Ethereum,ETH,ethereum,9206,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120274778.264,120274778.264,True,,2,,,,2024-08-14T04:17:00.000Z,2714.7886505995994,14959038777.58514,-31.696,0.11290675,2.2787471,7.48675942,-18.33374878,-22.60164856,-9.88814174,326520602984.4906,15.2599,326520602984.49,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
2,825,Tether USDt,USDT,tether,94066,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,115638558844.54697,117068077122.29233,True,,3,,,,2024-08-14T04:17:00.000Z,1.0004931963763821,49211515309.39931,-22.3752,0.00703574,-0.01364293,0.01002462,-0.00273265,0.10589499,0.0191073,115695591362.73915,5.4051,117125814673.72,,2024-08-14T04:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-13 23:45:11.114379
3,1839,BNB,BNB,bnb,2207,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145936398.71315137,145936398.71315137,False,,4,,,,2024-08-14T04:17:00.000Z,526.5954441065286,1718955445.6742327,-3.8753,0.35307648,2.16640321,6.39519212,-4.92207371,-13.06409065,-9.7967122,76849442691.65938,3.5903,76849442691.66,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
4,5426,Solana,SOL,solana,715,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466841677.5051869,582263706.8848988,True,,5,,,,2024-08-14T04:17:00.000Z,145.1789437588358,2133315309.9128714,-36.4453,0.15801972,1.1398401,-5.44168719,-3.93115447,0.23550136,-10.74760391,67775581642.80609,3.1664,84532429954.65,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
5,3408,USDC,USDC,usd-coin,21485,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34509826094.50879,34509826094.50879,False,,6,,,,2024-08-14T04:17:00.000Z,1.0001134976473438,5444742234.599351,-29.536,-0.00049134,0.01543175,0.01984251,0.0163445,0.01287186,0.01975057,34513742878.58076,1.6132,34513742878.58,,2024-08-14T04:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-13 23:45:11.114379
6,52,XRP,XRP,xrp,1364,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56113081096.0,99987342059.0,False,,7,,,,2024-08-14T04:18:00.000Z,0.5795585051123469,1271770151.2879593,-9.7927,0.01817922,2.70234737,11.93443216,9.85692045,21.46570445,11.96979326,32520813397.24565,1.5193,57955850511.23,,2024-08-14T04:18:00.000Z,,,,,,2024-08-13 23:45:11.114379
7,11419,Toncoin,TON,toncoin,502,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2518566442.1052794,5110447214.492493,True,,8,3414166606.0,22535688114.036896,,2024-08-14T04:17:00.000Z,6.600641009853781,330827339.3799788,-31.9019,1.79590922,6.23129157,13.86211484,-11.88809782,-18.05884669,-5.03093788,16624152943.801638,0.7767,33732227462.67,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
8,74,Dogecoin,DOGE,dogecoin,1034,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145525196383.7053,145525196383.7053,True,,9,,,,2024-08-14T04:18:00.000Z,0.10603027176196975,494711333.042596,-40.2853,0.2203063,1.65885079,6.67075324,-9.67755845,-21.84722684,-32.33820638,15430076120.77829,0.7211,15430076120.78,,2024-08-14T04:18:00.000Z,,,,,,2024-08-13 23:45:11.114379
9,2010,Cardano,ADA,cardano,1221,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35934544120.146,37130259832.211,False,,10,,,,2024-08-14T04:17:00.000Z,0.3407760741503973,200250314.45477486,-27.544,0.51288861,1.82207836,0.72592659,-21.50756106,-17.3073065,-25.64696629,12245632871.647598,0.5724,15334923336.77,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
10,1958,TRON,TRX,tron,1006,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86975923026.99881,86975926157.14122,True,,11,71659659264.0,9275273703.31437,,2024-08-14T04:17:00.000Z,0.12943507963306813,257053358.05153415,-9.7576,0.17055984,2.82231052,3.99644002,-6.37264813,11.17027391,3.98374962,11257735523.159195,0.5261,11257735928.31,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
11,5805,Avalanche,AVAX,avalanche,761,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,395335973.8217392,444682343.8217392,False,,12,,,,2024-08-14T04:17:00.000Z,21.33715820873844,177330385.9621871,-27.5605,-0.02648001,2.71859355,-0.37524217,-20.44765739,-29.68219337,-38.84380896,8435346219.040128,0.3942,15272043655.0,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
